,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin
314,314,5.5,raxml,40,0,4,INT,REF,0.000288773093393674,0.0257590918272078,0.0118276554757399,0.0169364735701119,NA,NA,-3.37617862033827,4.85732351959954,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
315,315,5.5,raxml,40,0,5,INT,REF,0.000696093687536162,0.0530845381740809,0.0179254289504165,0.0246962942110437,NA,NA,-2.71049598118596,5.26712894840958,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
316,316,6,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0719662488236027,0.00750794761566148,0.012009079569456,NA,NA,2.36976191729378,3.92413176161497,0.302021194594277,0.469518902707868,0.653464039213071,1.06348859890457
317,317,6,raxml,40,0.25,10,EXT,REF,1.00000050002909e-06,0.404182704241366,0.0289729542512473,0.0428086612383847,NA,NA,-1.54396129957866,6.23853762869737,0.32947766683012,0.441234631460406,0.686411805896083,1.03520432765711
318,318,6,raxml,40,0.25,1,EXT,REF,1.00000050002909e-06,0.0719662488236027,0.00750794761566148,0.012009079569456,NA,NA,2.36976191729378,3.92413176161497,0.302021194594277,0.469518902707868,0.653464039213071,1.06348859890457
319,319,6,raxml,40,0.25,2,EXT,REF,1.00000050002909e-06,0.0719662488236027,0.00750794761566148,0.012009079569456,NA,NA,2.36976191729378,3.92413176161497,0.302021194594277,0.469518902707868,0.653464039213071,1.06348859890457
320,320,6,raxml,40,0.25,3,EXT,REF,2.22254945081839e-05,0.108649675594922,0.0102769918161186,0.0147219737997383,NA,NA,0.251400104840915,4.62987003006057,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
321,321,6,raxml,40,0.25,4,EXT,REF,1.90214153208577e-05,0.155774598805451,0.0114883853945191,0.0168103786437138,NA,NA,0.147687911544218,4.71982949634598,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
322,322,6,raxml,40,0.25,5,EXT,REF,1.00000050002909e-06,0.269872986439408,0.0166323825756009,0.02359577812384,NA,NA,0.434256340061105,4.24954177883159,0.318495077935783,0.429920922961421,0.669937922554577,1.01823376490863
323,323,6,raxml,40,0.5,0,EXT,REF,4.39390715617815e-05,0.0466355712240628,0.00720101299595862,0.0114405697509753,NA,NA,1.02765198329724,2.88247579334299,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
324,324,6,raxml,40,0.5,10,EXT,REF,1.00000050002909e-06,0.43569913503301,0.0281529073976623,0.041597304323976,NA,NA,1.9589771575411,6.10388285195025,0.241616955675421,0.401636651713959,0.593059800294216,1.00126320216015
325,325,6,raxml,40,0.5,1,EXT,REF,4.39390715617815e-05,0.0466355712240628,0.00720101299595862,0.0114405697509753,NA,NA,1.02765198329724,2.88247579334299,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
326,326,6,raxml,40,0.5,2,EXT,REF,4.39390715617815e-05,0.0466355712240628,0.00720101299595862,0.0114405697509753,NA,NA,1.02765198329724,2.88247579334299,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
327,327,6,raxml,40,0.5,3,EXT,REF,3.81067938803746e-05,0.0422554978391496,0.00988841801637576,0.0143074384903778,NA,NA,0.711910354835859,4.5171825805197,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
328,328,6,raxml,40,0.5,4,EXT,REF,4.21836621966394e-05,0.0471622963446606,0.0109985895481132,0.0162451929560195,NA,NA,0.696214973310532,4.27366769560035,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
329,329,6,raxml,40,0.5,5,EXT,REF,1.00000050002909e-06,0.0696644626045966,0.0150379895415217,0.0214186775855945,NA,NA,0.486414769960654,4.21359658947307,0.318495077935783,0.421435641587182,0.669937922554577,1.00974848353439
330,330,6,raxml,40,0.75,0,EXT,REF,5.75448586937164e-05,0.0771979620935301,0.00663331786474868,0.0104805888983835,NA,NA,0.999307641918773,2.70403734850899,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
331,331,6,raxml,40,0.75,10,EXT,REF,1.00000050002909e-06,0.355304266756009,0.0266075520610427,0.0378042629621605,NA,NA,-1.33486293258926,6.03039730780386,0.318495077935783,0.429920922961421,0.669937922554577,1.01823376490863
332,332,6,raxml,40,0.75,1,EXT,REF,5.75448586937164e-05,0.0771979620935301,0.00663331786474868,0.0104805888983835,NA,NA,0.999307641918773,2.70403734850899,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
