,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,avg_dxy,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin
304,304,5,SHORT,raxml,40,0.9,0.03,43072,43_0_0,INT,REF,0.0965038,0.196176356872892,0.217729163080155,0.0845309387712767,0.0606203935628017,61.6875,34.061369052082,-9.16975773724364,-9.28743699217987,0.258090839016927,0.223445742854949,0.697394394790421,0.89095454429505,58,0.159855942376951,0.358425317910453,-17.1280963016481,-0.274564722358433,-0.422829672431987,0.341037395979319,-3.29239014920183,-0.186676190233249,-0.11879393923934
305,305,6,SHORT,raxml,40,0.25,0.03,44898,28_0_0,INT,REF,0.104946,0.187616136582548,0.203400753462908,0.0832223278506947,0.0596920626124751,48.6875,31.800679940543,-9.23215603485036,-9.29371704890026,0.249853897346174,0.243244732728172,0.683666158672499,0.888126117170304,70,0.102364945978391,0.350261937112917,-18.0108107248136,-0.10158894727262,-0.304766841817861,0.363340616654528,-4.51331879981521,0.0197989898732233,0.0141421356237309
306,306,6,SHORT,raxml,40,0.75,0.03,44577,0_0_0,EXT,REF,0.385973,0.185018290139027,0.226988943798028,0.0833362399553347,0.0600682050417838,45.9166666666667,33.3127241253621,-9.18508213046131,-9.21117556079467,0.263582133464096,0.257386868351903,0.730342161473433,0.902268252794035,66,0.10921168467387,0.330078755333259,-17.7269800451189,-0.0878607111546986,-0.258090839016927,0.360742898761835,-4.43067862116419,0.0339411254969543,0.0282842712474618
307,307,10,SHORT,raxml,40,0.9,0.02,48618,0_0_0,EXT,REF,0.347242,0.17555254146621,0.166343600341109,0.088646825852945,0.0644822292262844,54.5208333333333,30.8551796288577,-9.24946520644485,-8.97592478229968,0.258090839016927,0.444063058585152,0.664446628107409,1.05500331753033,72,0.166894757903161,0.401954483143684,-10.1155240926973,-0.318495077935783,-0.477742616903674,0.38615442046655,-2.31446807368484,-0.0113137084989848,0.0226274169979694
308,308,6,SHORT,raxml,40,0.5,0.03,44942,0_0_0,EXT,REF,0.385973,0.186839134816474,0.258604725285925,0.0833741103086795,0.0599404905436741,47.2083333333333,33.7304448206871,-9.25042657450144,-9.28490426387134,0.244362602899006,0.240416305603426,0.711122630908342,0.896611398544542,72,0.110636254501801,0.35673010709254,-18.2855026456093,-0.107080241719789,-0.277310369582018,0.363696690135146,-4.50436866180112,0.0169705627484771,0.0226274169979694
309,309,10,SHORT,raxml,40,0.75,0.02,47551,47_0_0,INT,REF,0.113398,0.191218846509077,0.175512176205603,0.0892906725843356,0.0647386014413124,43.8333333333333,33.1735175931577,-9.17862816998403,-9.14383169759852,0.332223314053704,0.45254833995939,0.88684405321774,1.05783174465508,70,0.204989995998399,0.407078829344282,-14.5107318224099,-0.244362602899006,-0.255345191793343,0.377679642264283,-2.48215675767122,-0.00282842712474618,0.0254558441227157
310,310,1,SHORT,raxml,40,0.25,0.02,51490,35_0_0,INT,REF,0.112562,0.177032193675493,0.166110097662469,0.0907171217409529,0.0685054186643738,31.6875,27.2881832815692,-9.56451851114755,-9.39454426120157,0.304766841817861,0.446891485709898,0.914300525453583,1.06914545315406,82,0.47796318527411,0.61685768795663,-15.4353984296042,-0.18395836398015,-0.161993186191476,0.413431505584417,-3.01869228416464,0.0820243866176395,0.104651803615609
311,311,6,SHORT,raxml,40,0.5,0.03,44838,28_0_0,INT,REF,0.104946,0.187123242393514,0.203351532130385,0.0831994043950641,0.0596721387975269,48.8958333333333,33.0771114430876,-9.2414797624322,-9.30134274411804,0.249853897346174,0.243244732728172,0.683666158672499,0.888126117170304,70,0.103365346138455,0.355819929594591,-18.1948891891259,-0.10158894727262,-0.304766841817861,0.36285506190823,-4.52096620466941,0.0197989898732233,0.0141421356237309
312,312,6,SHORT,raxml,40,0.9,0.03,44344,28_0_0,INT,REF,0.104946,0.158269055216985,0.164939820655555,0.0829365303433118,0.0595242009743448,51.625,32.3028389503975,-9.20216353239662,-8.94841377713983,0.241616955675421,0.381837661840736,0.867624522652649,1.02106219203337,66,0.107122849139656,0.340578836592605,-12.273371271138,-0.109825888943373,-0.120808477837711,0.35885732783038,-4.16492094867384,0.158391918985787,0.147078210486802
313,313,6,SHORT,raxml,40,0.75,0.03,44522,28_0_0,INT,REF,0.104946,0.184595508617365,0.21540500676134,0.0832007771675136,0.0598053992836051,55.625,31.430859615515,-9.19413902451551,-9.23165092889885,0.230634366781084,0.254558441227157,0.680920511448915,0.905096679918781,62,0.0973829531812725,0.319898175721796,-18.1536804153853,-0.120808477837711,-0.307512489041445,0.360297806911063,-4.45115021202653,0.0311126983722081,0.0311126983722081
