,tree.num,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,avg_dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin,ml.tree
1379,1414,22,LONG,astral,40,0.75,0,INT,REF,2_0_0,0.0361904,0.960625,0.110230054402676,0.417338377984819,0.526087445202791,0.834676755969637,1.08611601590254,0.0450148037724585,0.0048859543817527,0.0146221724250852,0,-0.225143072333915,-0.356934139065963,0,0,0.00282842712474618,0.00282842712474607,48
1380,1415,22,LONG,astral,40,0.25,0,INT,REF,2_0_0,0.0361904,0.962708333333333,0.0999731790272906,0.406355789090481,0.560028570699746,0.77976381149795,1.11440028715,0.0696654340635804,0.00739495798319328,0.0320731508497888,0,-0.236125661228253,-0.41184708353765,0,0,0.0367695526217005,0.0311126983722081,48
1381,1416,22,LONG,astral,40,0,0,INT,REF,2_0_0,0.0361904,0.964375,0.0965116297699457,0.406355789090481,0.560028570699746,0.77976381149795,1.11440028715,0.0696654340635804,0.00739495798319328,0.0320731508497888,0,-0.236125661228253,-0.41184708353765,0,0,0.0367695526217005,0.0311126983722081,48
1382,1417,22,LONG,astral,40,0.5,0,INT,REF,2_0_0,0.0361904,0.971041666666667,0.0865715688019034,0.406355789090481,0.560028570699746,0.77976381149795,1.11440028715,0.0696654340635807,0.00739495798319328,0.032073150849789,0,-0.236125661228253,-0.41184708353765,0,0,0.0367695526217005,0.0311126983722081,48
1383,1418,26,LONG,astral,40,0.75,0,EXT,REF,NA,NA,0.938958333333333,0.125142294895176,0.307512489041445,0.627910821693654,0.642481450318734,1.1879393923934,0.0181930652842079,0.00085234093637455,0.0194686396609378,0,-0.444794850220662,-0.653464039213071,0,0,-0.00848528137423854,-0.00282842712474607,76
1384,1419,26,LONG,astral,40,0.5,0,EXT,REF,NA,NA,0.93625,0.126501618861057,0.499707794692349,0.627910821693654,1.0158894727262,1.1879393923934,0.0181930652842079,0.00085234093637455,0.019468639660938,0,-0.252599544569759,-0.280056016805602,0,0,-0.00848528137423854,-0.00282842712474607,76
1385,1420,26,LONG,astral,40,0,0,EXT,REF,NA,NA,0.941041666666667,0.120922686454159,0.499707794692349,0.627910821693654,1.0158894727262,1.1879393923934,0.0181930652842079,0.00085234093637455,0.019468639660938,0,-0.252599544569759,-0.280056016805602,0,0,-0.00848528137423854,-0.00282842712474607,76
1386,1421,26,LONG,astral,40,0.25,0,EXT,REF,NA,NA,0.942708333333333,0.11490494838396,0.499707794692349,0.627910821693654,1.0158894727262,1.1879393923934,0.0181930652842079,0.00085234093637455,0.019468639660938,0,-0.252599544569759,-0.280056016805602,0,0,-0.00848528137423854,-0.00282842712474607,76
1387,1422,26,LONG,astral,40,0.75,0,INT,REF,NA,NA,0.922083333333333,0.171563006642536,0.403610141866897,0.636396103067893,0.897826642112077,1.19076781951815,0.0767351060922783,0.00512605042016807,0.0499406160710259,0,-0.34869719739521,-0.398118847419728,0,0,0,0,76
1388,1423,26,LONG,astral,40,0.5,0,INT,REF,NA,NA,0.935208333333333,0.138348766549159,0.406355789090481,0.639224530192639,0.900572289335661,1.19359624664289,0.0501151817694785,0.00316926770708283,0.0189345710594548,0,-0.345951550171626,-0.395373200196144,0,0,0.00282842712474618,0.00282842712474629,76
1389,1424,26,LONG,astral,40,0,0,INT,REF,NA,NA,0.931666666666667,0.135667511803177,0.406355789090481,0.639224530192639,0.900572289335661,1.19359624664289,0.0501151817694785,0.00316926770708283,0.0189345710594548,0,-0.345951550171626,-0.395373200196144,0,0,0.00282842712474618,0.00282842712474629,76
1390,1425,26,LONG,astral,40,0.25,0,INT,REF,NA,NA,0.932708333333333,0.133731066798072,0.406355789090481,0.639224530192639,0.900572289335661,1.19359624664289,0.0501151817694785,0.00316926770708283,0.0189345710594548,0,-0.345951550171626,-0.395373200196144,0,0,0.00282842712474618,0.00282842712474629,76
1391,1426,17,LONG,astral,40,0.9,0,EXT,REF,0_0_0,0.430421,0.933958333333333,0.149676809035737,0.24710825012259,0.322440692221066,0.708376983684758,0.922067242667258,0.023996524222217,0.000864345738295318,0.0260166579034547,0,-0.200432247321656,-0.326732019606536,0,0,0,0,43
1392,1427,17,LONG,astral,40,0,1,EXT,REF,0_0_0,0.430421,0.964166666666667,0.107956518696548,0.291038605699939,0.342239682094289,0.65895533366024,0.930552524041496,0.0564981438884622,0.00849939975990396,0.0347631190298214,0,-0.156501891744307,-0.376153669631054,0,0,0.0197989898732234,0.00848528137423854,43
1393,1428,17,LONG,astral,40,0.25,1,EXT,REF,0_0_0,0.430421,0.967083333333333,0.101645155264048,0.26632778068768,0.342239682094289,0.623261919753644,0.930552524041496,0.0564981438884625,0.00849939975990396,0.0347631190298211,0,-0.181212716756566,-0.41184708353765,0,0,0.0197989898732234,0.00848528137423854,43
1394,1429,17,LONG,astral,40,0.5,1,EXT,REF,0_0_0,0.430421,0.95375,0.135938424733954,0.26632778068768,0.342239682094289,0.623261919753644,0.930552524041496,0.0330041135254109,0.00533013205282113,0.0300023803318301,0,-0.181212716756566,-0.41184708353765,0,0,0.0197989898732234,0.00848528137423854,43
1395,1430,16,LONG,astral,40,0.9,0,INT,REF,31_0_0,0.0426519,0.978125,0.0864096194901096,0.258090839016927,0.424264068711929,0.669937922554577,0.995606347910659,0.0312017446120422,0.00114045618247299,0.0274501959552981,0,-0.288292958476355,-0.436557908549909,0,0,0,0,42
1396,1431,16,LONG,astral,40,0,1,INT,REF,31_0_0,0.0426519,0.986666666666667,0.0545126701389114,0.337714608500873,0.444063058585152,0.837422403193221,1.0040916292849,0.0425315650351596,0.00561824729891957,0.0396997248142897,0,-0.208669188992409,-0.269073427911265,0,0,0.0197989898732233,0.00848528137423854,42
1397,1432,16,LONG,astral,40,0.5,1,INT,REF,31_0_0,0.0426519,0.984791666666667,0.0671609557081435,0.277310369582018,0.444063058585152,0.672683569778162,1.0040916292849,0.0425315650351596,0.00561824729891957,0.0396997248142895,0,-0.269073427911265,-0.433812261326325,0,0,0.0197989898732233,0.00848528137423854,42
1398,1433,16,LONG,astral,40,0.25,1,INT,REF,31_0_0,0.0426519,0.987916666666667,0.0505273607503614,0.337714608500873,0.444063058585152,0.837422403193221,1.0040916292849,0.0425315650351596,0.00561824729891957,0.0396997248142897,0,-0.208669188992409,-0.269073427911265,0,0,0.0197989898732233,0.00848528137423854,42
1399,1434,17,LONG,astral,40,0.9,0,INT,REF,49_0_0,0.0408423,0.958333333333333,0.128250641130384,0.26632778068768,0.342239682094289,0.716613925355511,0.930552524041496,0.0250534025667867,0.00504201680672269,0.0213682480128186,0,-0.181212716756566,-0.318495077935783,0,0,0.0197989898732234,0.00848528137423854,43
1400,1435,17,LONG,astral,40,0,1,INT,REF,49_0_0,0.0408423,0.976875,0.0783379544434432,0.277310369582018,0.353553390593274,0.634244508647981,0.936209378290989,0.03833439234165,0.0058703481392557,0.0327253654218013,0,-0.170230127862229,-0.400864494643313,0,0,0.0311126983722081,0.014142135623731,43
1401,1436,17,LONG,astral,40,0.25,1,INT,REF,49_0_0,0.0408423,0.977708333333333,0.0759125920464166,0.277310369582018,0.353553390593274,0.634244508647981,0.936209378290989,0.03833439234165,0.0058703481392557,0.0327253654218013,0,-0.170230127862229,-0.400864494643313,0,0,0.0311126983722081,0.014142135623731,43
