,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1474,10,MED,raxml,40,0.25,0.04,INT,REF,25_0_0,NA,16794,0.342587870504478,-12.5820258154009,31.3459303826145,-543.526907986525,0.269940782294591,-215,1,637,-357,3,0.187151080616952,0.0901287435796689,0.0601930782926963,82,-11.8035578323948,0.275,619,81.969387755102,25.7291419202271,1169527.08665817
1475,10,MED,raxml,40,0.25,0.05,INT,REF,25_0_0,NA,15458,0.315334244507456,-12.546644821247,52.875870226423,-245.213915067991,0.468948220336589,-196,0,966,-194,2,0.197952240794878,0.0957624039094019,0.0635192767508499,82,-11.8140427892823,0.377,865,80.0204081632653,26.9764997354367,1169526.36474465
1476,10,MED,raxml,40,0.25,0.1,INT,REF,25_0_0,NA,11588,0.236388486566981,-12.2740643490172,-316.017697402884,-78.5209962332537,0.376340798673481,-190,6,970,-190,6,0.239182780475244,0.116788921278424,0.0757437227897433,80,-11.4020976283467,0.383,869,78.5102040816327,27.6126539414429,1169522.83221732
1477,10,MED,raxml,40,0.5,0.01,INT,REF,25_0_0,NA,29595,0.603720854327737,-12.9472289179694,1.23413425683019,603.856203349096,0.357622277273491,-193,-18,895,-233,-8,0.12940742025786,0.061065795440691,0.0411607100391557,86,-12.1796765875028,0.364,810,89.5204081632653,16.4474982222169,1169532.28994
1478,10,MED,raxml,40,0.5,0.02,INT,REF,25_0_0,NA,21754,0.443768996960486,-12.8080400090187,31.3449046828541,-1458.13033045092,0.466977849662906,-198,-2,964,-196,0,0.150200207593699,0.0746585249803353,0.0503028963238917,76,-11.9112526781928,0.375,863,84.5612244897959,20.646292858391,1169529.84397762
1479,10,MED,raxml,40,0.5,0.03,INT,REF,25_0_0,NA,18603,0.379490422472002,-12.7639942876608,28.1976441875869,-649.945119371736,0.455155625620807,-210,-14,958,-202,-6,0.170347609401072,0.0831330838466692,0.0556501111783351,82,-11.9090167330547,0.363,857,80.765306122449,26.1903425265478,1169528.50287465
1480,10,MED,raxml,40,0.5,0.04,INT,REF,25_0_0,NA,16769,0.342077884988066,-12.6863283004273,27.9352044535113,-1127.92246461478,0.439392660231342,-194,-20,902,-226,-8,0.186657421210993,0.0898000569392277,0.0594123915541251,94,-11.9008090765297,0.363,817,79.9285714285714,28.7876154643574,1169527.55531008
1481,10,MED,raxml,40,0.5,0.05,INT,REF,25_0_0,NA,15433,0.314824258991045,-12.5727332618932,50.7587709551196,-258.976513948232,0.456140810957648,-177,-1,905,-223,1,0.197892229488402,0.0958099208368047,0.0636932552257647,90,-11.8123128440574,0.38,820,80.9897959183673,25.1496530680337,1169526.34055629
1482,10,MED,raxml,40,0.5,0.1,INT,REF,25_0_0,NA,11564,0.235898900471227,-12.3210820153294,-243.030608261737,-78.8162852541993,0.375355613336639,-175,-1,831,-215,3,0.238435728527646,0.116727940628596,0.0752029348836342,92,-11.3909909837016,0.382,828,76.6734693877551,29.8424645586125,1169522.95555298
1483,10,MED,raxml,40,0.75,0.01,INT,REF,25_0_0,NA,29547,0.602741682136227,-12.9662130410745,1.18010862327437,661.444265217601,0.440377845568183,-193,-18,895,-233,-8,0.129293614494641,0.0611184187729644,0.0412863779430304,84,-12.1827603415338,0.364,810,87.0816326530612,17.7210187213788,1169532.22557194
