,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps
248,248,8,raxml,40,0,3,INT,REF,1.00000050002909e-06,0.0241635041679841,0.0119102686016873,0.0142216079476273,91.0208333333333,18.1019448624013,-2.4801616277226,4.28716677780684,0.313003783488614,0.557200143574999,0.697394394790421,1.14551298552221,s8_q40_miss0_mac3.REF.cichlids.INT.noInv,14464
249,249,10,raxml,40,0.9,3,EXT,REF,1.00000050002909e-06,0.0482636600714342,0.00660587756860628,0.0117415477137618,79.7708333333333,26.6436209149769,2.95217005463651,4.27272713439013,0.395373200196144,0.95035151391472,0.708376983684758,1.44249783362056,s10_q40_miss0.90_mac3.REF.cichlids.EXT.noInv,3421
250,250,8,raxml,40,0.25,3,INT,REF,1.00000050002909e-06,0.0230590061589433,0.0115633895959437,0.0137060238622008,91.8125,16.6358447271918,-2.64438862779073,4.16777864463179,0.304766841817861,0.545886435076015,0.705631336461174,1.13985613127271,s8_q40_miss0.25_mac3.REF.cichlids.INT.noInv,13490
251,251,9,raxml,40,0.5,2,EXT,REF,1.00000050002909e-06,0.0382809594343288,0.0062012935487443,0.0147228622956643,96.5416666666667,10.6750022837874,-0.737729175584992,3.1692367839935,0.370662375183885,0.466690475583121,0.782509458721535,1.05500331753033,s9_q40_miss0.50_mac2.REF.cichlids.EXT.noInv,51785
252,252,10,raxml,40,0.5,3,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.00829518029128619,0.0143659120022314,91,15.3081816533485,4.00327061575787,4.33161817304574,0.384390611301807,0.602454977570938,0.790746400392288,1.17945411101916,s10_q40_miss0.50_mac3.REF.cichlids.EXT.noInv,23135
253,253,7,raxml,40,0.9,0,INT,REF,1.00000050002909e-06,0.121293071129407,0.00565010103267037,0.0132800501314308,95.0208333333333,13.6592102561859,-2.38483245585749,3.56681062267263,0.296529900147108,0.568513852073984,0.636990155871565,1.17945411101916,s7_q40_miss0.90_mac0.REF.cichlids.INT.noInv,33714
254,254,4,raxml,40,0,3,EXT,REF,1.00000050002909e-06,0.0414653954387896,0.0124010084907378,0.0151674141534414,92.875,15.7434552426945,0.410901660437859,4.19731943733209,0.351442844618795,0.627910821693654,0.801728989286625,1.1879393923934,s4_q40_miss0_mac3.REF.cichlids.EXT.noInv,30407
255,255,9,raxml,40,0.9,2,EXT,REF,1.00000050002909e-06,0.0240006435784045,0.00491091941337382,0.0132871565859474,92.0625,17.7553183521793,2.95186512184308,2.73315451872135,0.296529900147108,0.379009234715989,0.708376983684758,0.978635785162182,s9_q40_miss0.90_mac2.REF.cichlids.EXT.noInv,11127
256,256,7,raxml,40,0.75,0,INT,REF,1.00000050002909e-06,0.124112466003041,0.00651103207563045,0.0140085917785176,98.3333333333333,5.72910944523326,-0.577231434950565,3.59938688569415,0.291038605699939,0.565685424949238,0.636990155871565,1.17096882964492,s7_q40_miss0.75_mac0.REF.cichlids.INT.noInv,72477
257,257,8,raxml,40,0.75,3,INT,REF,1.00000050002909e-06,0.0305215485173482,0.0106343457761272,0.012509722129799,90.1666666666667,20.3023249201445,-2.5538113337505,3.83961574625706,0.307512489041445,0.548714862200761,0.708376983684758,1.14268455839746,s8_q40_miss0.75_mac3.REF.cichlids.INT.noInv,7410
258,258,8,raxml,40,0.9,3,INT,REF,1.00000050002909e-06,0.017972310810862,0.00927625508050811,0.0111388770211403,87.5625,19.9263604410221,-4.42518641056255,3.66422569461421,0.302021194594277,0.562856997824492,0.691903100343252,1.1511698397717,s8_q40_miss0.90_mac3.REF.cichlids.INT.noInv,2338
259,259,7,raxml,40,0,2,EXT,REF,0.0148988824562101,0.000136910156301958,0.0137083988942099,0.0611253767032667,84.5208333333333,27.5263816074173,-10.7097135890831,8.32848215432269,0.705631336461174,0.956008368164212,1.16690007002334,1.46512525061853,s7_q40_miss0_mac2.REF.cichlids.EXT.noInv,161726
260,260,8,raxml,40,0.5,3,INT,REF,1.00000050002909e-06,0.0268904376905342,0.0111065786249767,0.0131575636105972,91.1875,17.9451365425821,-2.14941555424,4.02449968628708,0.315749430712198,0.557200143574999,0.711122630908342,1.14551298552221,s8_q40_miss0.50_mac3.REF.cichlids.INT.noInv,11953
261,261,5,raxml,40,0,1,INT,REF,0.0259151718479822,0.000612909864471263,0.0109578989705366,0.0316020231865939,91.5625,19.1732373874339,2.20008524755161,4.13322813447919,0.211414836215994,1.13419927702322,0.442049202997078,1.60937503398058,s5_q40_miss0_mac1.REF.cichlids.INT.noInv,160091
262,262,2,raxml,40,0.5,1,EXT,REF,1.00000050002909e-06,0.250069828926926,0.0068114696161384,0.0248426307502041,93.2291666666667,15.2806922859401,0.276127696166561,1.4971031587326,0.269073427911265,0.540229580826522,0.571094622505541,1.10025815152627,s2_q40_miss0.50_mac1.REF.cichlids.EXT.noInv,82624
263,263,8,raxml,40,0.5,1,EXT,REF,1.00000050002909e-06,0.0478013323016515,0.00758484596456369,0.0169771026113904,91.875,16.8556133714457,-0.266808637185518,2.38390548785739,0.302021194594277,0.427092495836675,0.702885689237589,1.02106219203337,s8_q40_miss0.50_mac1.REF.cichlids.EXT.noInv,64761
264,264,8,raxml,40,0.75,1,EXT,REF,1.00000050002909e-06,0.0310242318036704,0.00681075611304974,0.0167085580187626,89.8541666666667,20.4346280813401,2.46603480583835,2.24205432907731,0.304766841817861,0.565685424949238,0.700140042014005,1.15399826689645,s8_q40_miss0.75_mac1.REF.cichlids.EXT.noInv,42901
265,265,4,raxml,40,0.25,3,EXT,REF,1.00000050002909e-06,0.0428201959234369,0.0120628091208506,0.0146074637837155,92.6458333333333,15.1524024965825,-3.02606527813651,3.47232369147126,0.351442844618795,0.489317892581091,0.818202872628131,1.05500331753033,s4_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,28674
266,266,8,raxml,40,0.25,4,INT,REF,1.00000050002909e-06,0.0163955144289958,0.0131825448505296,0.016373959679274,91.4583333333333,17.7199951171087,-1.78551014156212,4.50215529231747,0.304766841817861,0.545886435076015,0.705631336461174,1.13985613127271,s8_q40_miss0.25_mac4.REF.cichlids.INT.noInv,11795
