,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
174,174,3,Cichlids,astral,40,0.9,5,INT,REF,0.229259,0.888333333333333,0.187336690108993,0.315749430712198,0.461033621333629,0.672683569778162,1.06066017177982
175,175,3,Cichlids,astral,40,0,2,INT,REF,0.229259,0.997083333333333,0.0135204074805353,0.730342161473433,0.789131167804187,1.15317183390542,1.31521861300698
176,176,8,Cichlids,astral,40,0.5,2,INT,REF,0.234123,0.995208333333333,0.027904821769977,0.420084025208403,0.596798123321446,0.80447463651021,1.1511698397717
177,177,9,Cichlids,astral,40,0.75,5,INT,REF,0.220617,0.955833333333333,0.124846004432241,0.389881905748975,0.622253967444162,0.730342161473433,1.17096882964492
178,178,1,Cichlids,astral,40,0.5,2,INT,REF,0.217217,0.98,0.0772946834207009,0.403610141866897,0.523259018078045,0.733087808697017,1.0776307345283
179,179,6,Cichlids,astral,40,0.9,2,INT,REF,0.241146,0.829583333333333,0.204876281643683,0.351442844618795,0.537401153701776,0.686411805896083,1.12005714139949
180,180,7,Cichlids,astral,40,0.5,2,INT,REF,0.211928,0.978541666666667,0.093740011288201,0.326732019606536,0.503460028204822,0.67817486422533,1.06348859890457
181,181,9,Cichlids,astral,40,0.75,3,EXT,REF,0.279127,0.963333333333333,0.106458129484475,0.417338377984819,0.585484414822461,0.746816044814939,1.13985613127271
182,182,8,Cichlids,astral,40,0.5,0,INT,REF,0.234123,0.985625,0.0723733302824335,0.420084025208403,0.596798123321446,0.80447463651021,1.1511698397717
183,183,10,Cichlids,astral,40,0.9,5,INT,REF,0.224374,0.958958333333333,0.120039702356529,0.461268733562168,0.568513852073984,0.840168050416806,1.14551298552221
184,184,4,Cichlids,astral,40,0.5,2,INT,REF,0.232505,0.995416666666667,0.0247505283273362,0.436557908549909,0.562856997824492,0.777018164274366,1.12288556852424
185,185,9,Cichlids,astral,40,0.9,3,EXT,REF,0.279127,0.937708333333333,0.163463049157038,0.584822858623463,0.65336666581637,0.991178647713944,1.17379725676967
186,186,9,Cichlids,astral,40,0.5,5,INT,REF,0.220617,0.97,0.0994024701092975,0.480488264127258,0.642052957317385,0.820948519851716,1.18511096526865
187,187,3,Cichlids,astral,40,0.5,0,INT,REF,0.229259,0.986875,0.0639200381460755,0.469505675232921,0.786302740679441,0.788000753168704,1.30673333163274
188,188,6,Cichlids,astral,40,0.75,2,INT,REF,0.241146,0.9675,0.0972931521064484,0.502453441915933,0.661851947190608,0.859387580981896,1.21622366364086
189,189,9,Cichlids,astral,40,0.9,5,INT,REF,0.220617,0.954583333333333,0.109950827178167,0.32947766683012,0.528915872327538,0.713868278131927,1.10591500577576
190,190,1,Cichlids,astral,40,0.75,2,INT,REF,0.217217,0.97625,0.0985560646147178,0.39262755297256,0.562856997824492,0.733087808697017,1.11157186002525
191,191,1,Cichlids,astral,40,0.5,0,INT,REF,0.217217,0.981666666666667,0.0722387687901175,0.384390611301807,0.514773736703807,0.680920511448915,1.06914545315406
192,192,8,Cichlids,astral,40,0.9,2,INT,REF,0.234123,0.960625,0.10982396455915,0.422829672431987,0.622253967444162,0.801728989286625,1.17096882964492
193,193,5,Cichlids,astral,40,0.5,2,INT,REF,0.229767,0.977708333333333,0.0654360036018084,0.615024978082891,0.862670273047588,0.960976528254517,1.3717871555019
194,194,8,Cichlids,astral,40,0.75,2,INT,REF,0.234123,0.9925,0.0519615242270663,0.370662375183885,0.639224530192639,0.766035575380029,1.1879393923934
195,195,2,Cichlids,astral,40,0.5,2,INT,REF,0.209569,0.97,0.10274943702284,0.532655561375361,0.644881384442131,0.834676755969637,1.20490995514188
196,196,7,Cichlids,astral,40,0.5,0,INT,REF,0.211928,0.975208333333333,0.103615278248552,0.334968961277289,0.51194530957906,0.686411805896083,1.07197388027881
197,197,1,Cichlids,astral,40,0.9,2,INT,REF,0.217217,0.948125,0.148003108794261,0.315749430712198,0.435577777210913,0.76054428093286,1.01257691065914
198,198,7,Cichlids,astral,40,0.75,2,INT,REF,0.211928,0.985208333333333,0.0699236539082915,0.444794850220662,0.466690475583121,0.873115817099818,1.03803275478185
199,199,10,Cichlids,astral,40,0.5,2,INT,REF,0.224374,0.995208333333333,0.0214366541662632,0.398118847419728,0.625082394568908,0.749561692038523,1.18511096526865
200,200,4,Cichlids,astral,40,0.5,0,INT,REF,0.232505,0.994166666666667,0.0333155981188119,0.436557908549909,0.562856997824492,0.777018164274366,1.12288556852424
201,201,4,Cichlids,astral,40,0.75,2,INT,REF,0.232505,0.966666666666667,0.103970808778302,0.420084025208403,0.545886435076015,0.766035575380029,1.11157186002525
202,202,5,Cichlids,astral,40,0.5,0,INT,REF,0.229767,0.975625,0.0769057519360617,0.722105219802679,0.845699710299111,1.08453065331581,1.35481659275343
203,203,7,Cichlids,astral,40,0.9,2,INT,REF,0.211928,0.97625,0.0856669702232666,0.398118847419728,0.51194530957906,0.733087808697017,1.10025815152627
204,204,10,Cichlids,astral,40,0.5,0,INT,REF,0.224374,0.997291666666667,0.0173499136466468,0.398118847419728,0.625082394568908,0.749561692038523,1.18511096526865
205,205,2,Cichlids,astral,40,0.5,0,INT,REF,0.209569,0.97375,0.103237487006437,0.532655561375361,0.644881384442131,0.834676755969637,1.20490995514188
206,206,10,Cichlids,astral,40,0.75,2,INT,REF,0.224374,0.987916666666667,0.0618838422294383,0.560112033611204,0.661851947190608,0.955485233807348,1.21622366364086
207,207,4,Cichlids,astral,40,0.9,2,INT,REF,0.232505,0.941458333333333,0.13319302236106,0.485979558574427,0.523259018078045,0.892335347664908,1.0776307345283
208,208,9,Cichlids,astral,40,0.5,2,INT,REF,0.220617,0.984791666666667,0.0615747110059072,0.425575319655572,0.585484414822461,0.777018164274366,1.14551298552221
209,209,5,Cichlids,astral,40,0.9,2,INT,REF,0.229767,0.914583333333333,0.166873099107297,0.381644964078222,0.596798123321446,0.831931108746053,1.16814040252018
210,210,3,Cichlids,astral,40,0.5,2,INT,REF,0.229259,0.997916666666667,0.0103056137012244,0.450286144667831,0.786302740679441,0.735833455920601,1.30673333163274
211,211,2,Cichlids,astral,40,0.75,2,INT,REF,0.209569,0.970625,0.0991325407638575,0.535401208598945,0.647709811566877,0.837422403193221,1.20773838226662
212,212,2,Cichlids,astral,40,0.9,2,INT,REF,0.209569,0.898958333333333,0.173232589722154,0.384390611301807,0.5939696961967,0.74132475036777,1.1879393923934
213,213,5,Cichlids,astral,40,0.75,2,INT,REF,0.229767,0.917291666666667,0.185262775805856,0.980196058819607,0.871155554421827,1.48539514795912,1.38592929112563
214,214,9,Cichlids,astral,40,0.5,0,INT,REF,0.220617,0.970625,0.0963240596532616,0.428320966879156,0.585484414822461,0.790746400392288,1.14551298552221
215,215,8,Cichlids,astral,40,0.75,0,INT,REF,0.234123,0.991666666666667,0.0577350269189626,0.370662375183885,0.639224530192639,0.766035575380029,1.1879393923934
216,216,3,Cichlids,astral,40,0.75,2,INT,REF,0.229259,0.974166666666667,0.0869784354133273,0.436557908549909,0.760846896556725,0.733087808697017,1.29259119600901
217,217,9,Cichlids,astral,40,0.75,2,INT,REF,0.220617,0.984583333333333,0.0806610542564307,0.403610141866897,0.574170706323477,0.727596514249848,1.13419927702322
218,218,6,Cichlids,astral,40,0.5,0,INT,REF,0.241146,0.975625,0.0843978987839682,0.447540497444246,0.656195092941116,0.793492047615872,1.21056680939137
