,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,avg_dxy,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites
11,11,1,MED,raxml,40,0.5,0.04,16148,91_0_0,INT,REF,0.175602245540489,0.229953684346063,0.0843617053274545,0.0526828674061384,86.7142857142857,19.4750699745974,-12.4741468659048,-11.4171354549573,0.392103764062946,0.316,0.796029752167991,0.818,NA,68,0.0565349596184108,0.156556200200364,-21.0292200894908,-0.0423629694841877,-0.183244472652533,0.130296208435203
12,12,1,MED,raxml,40,0.5,0.05,14784,91_0_0,INT,REF,0.18895930215069,0.256554486637482,0.0896619688392929,0.0556494362664304,87.2040816326531,20.6017510934624,-12.4816373771704,-11.3951148282479,0.260088928926175,0.312,0.678792697083844,0.816,NA,70,0.0569513277858398,0.166683464294577,-14.7154372937687,-0.141866688505187,-0.241370407526185,0.119290261673646
13,13,1,MED,raxml,40,0.5,0.1,11051,91_0_0,INT,REF,0.22939534220993,0.203352998234324,0.108460807933807,0.0660877229724444,81.3877551020408,26.026407149956,-12.2994891130386,-11.1255737088473,0.395059320073471,0.322,0.799970493515358,0.822,NA,76,0.0573782276186802,0.17146306254047,-20.2075637192801,-0.100488904357841,-0.117237055084147,0.0891691478460136
14,14,1,MED,raxml,40,0.5,0,122210,91_0_0,INT,REF,4.84125056223881,0.0912693200631135,0.0514823106947822,0.34092041669765,85.0918367346939,22.3528806394229,-12.2737131233491,-12.50173639039,0.303437083747205,0.269,0.75760752403117,0.769,NA,78,0.0888784388642946,0.211312539506614,-14.6576686060575,-0.131029649799929,-0.159600024568335,0.986097326781406
15,15,1,MED,raxml,40,0.75,0.01,30994,91_0_0,INT,REF,0.132200211031618,0.177683028667866,0.0554758539749716,0.0354119124433602,86.2040816326531,21.2471752803833,-12.6052462644919,-11.7876035813094,0.376340798673481,0.306,0.793074196157467,0.814,NA,66,0.0566471341011652,0.156152529415156,-20.9219853879035,-0.0581259348736529,-0.186200028663057,0.250086740416193
16,16,1,MED,raxml,40,0.75,0.02,21636,91_0_0,INT,REF,0.143753705894334,0.210478968387242,0.0694938671589303,0.043907492834148,83.6734693877551,24.5364343061052,-12.5497573487922,-11.6013733063643,0.2630444849367,0.309,0.691600106462785,0.815,NA,72,0.0569530422429998,0.169358285824232,-20.8086548694561,-0.138911132494662,-0.256148187578809,0.174578199511026
17,17,1,MED,raxml,40,0.75,0.03,18050,91_0_0,INT,REF,0.161291001141558,0.14461568099071,0.07788506288703,0.0488488155405696,83.6020408163265,23.6445934605745,-12.5375459814674,-11.5386884563625,0.370429686652432,0.311,0.717214925220665,0.815,NA,66,0.0568092727640111,0.158132455514321,-14.6842956554955,-0.0610814908841776,-0.13792594715782,0.145643210444353
18,18,1,MED,raxml,40,0.75,0.04,16071,91_0_0,INT,REF,0.17570036583661,0.229717351539117,0.0843587582127082,0.0527696214044747,86.5102040816327,20.9201944058496,-12.5304190255779,-11.4750913401266,0.38225191069453,0.312,0.732977890610131,0.816,NA,68,0.0565570026390394,0.157430320909712,-20.8138780778379,-0.0522148228526034,-0.12511853777888,0.129674904988986
19,19,1,MED,raxml,40,0.75,0.05,14710,91_0_0,INT,REF,0.188959884436188,0.245102497449154,0.0896399635147265,0.0560487007207942,85.0204081632653,23.7924789259113,-12.4845892283875,-11.3925064175023,0.393088949399788,0.317,0.797014937504833,0.819,NA,70,0.0568357243887654,0.162346642703445,-15.4501665058831,-0.0443333401578708,-0.123148167105197,0.118693164855204
20,20,1,MED,raxml,40,0.75,0.1,10989,91_0_0,INT,REF,0.232270522951659,0.303842773426731,0.108734092774536,0.0666926704566923,81.8877551020408,24.504105548314,-12.3486446442285,-11.1299105904866,0.358607462610333,0.321,0.693570477136468,0.825,NA,74,0.0750170527256807,0.19082601449146,-20.9567521739848,-0.136940761820979,-0.164525951252543,0.0886688775386701
