,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
209,178,3,Lates,astral,40,0.9,10,EXT,REF,0.54571,7138,0.753958333333333,0.232312514966218,0.2278887195575,1.02671904628287,0.491470853021596,1.53583592873718
210,404,3,Lates,astral,40,0.9,10,INT,REF,0.0410177,1810,0.650833333333333,0.21154782501719,0.269073427911265,1.06914545315406,0.488725205798011,1.53866435586193
211,764,4,Lates,astral,40,0,0,EXT,REF,0.554472,11285219,0.922291666666667,0.141500162894927,0.74132475036777,0.777817459305202,1.14218924501108,1.30390490450799
212,700,4,Lates,astral,40,0,0,INT,REF,0.0408547,76560,0.829583333333333,0.200975899193753,0.318495077935783,0.71276363543604,0.609533683635722,1.25016478913782
213,762,4,Lates,astral,40,0,1,EXT,REF,0.554472,11285219,0.923125,0.136898102344525,0.74132475036777,0.777817459305202,1.14218924501108,1.30390490450799
214,253,4,Lates,astral,40,0,1,INT,REF,0.0408547,76560,0.846458333333333,0.199760383942632,0.672683569778162,0.715592062560786,1.04609159218563,1.25299321626256
215,771,4,Lates,astral,40,0,2,EXT,REF,0.554472,11285219,0.921041666666667,0.138690526196772,0.74132475036777,0.777817459305202,1.14218924501108,1.30390490450799
216,478,4,Lates,astral,40,0,2,INT,REF,0.0408547,76560,0.842708333333333,0.205216435650249,0.818202872628131,0.704278354061801,1.35085843400349,1.24733636201307
217,543,4,Lates,astral,40,0,3,EXT,REF,0.554472,42242,0.923333333333333,0.152375981428544,0.694648747566836,0.834386001800126,1.1394435977875,1.34350288425444
218,351,4,Lates,astral,40,0,3,INT,REF,0.0408547,10824,0.845208333333333,0.233465926105893,0.735833455920601,0.794788022053679,1.07629371164506,1.30390490450799
219,141,4,Lates,astral,40,0,4,EXT,REF,0.554472,34674,0.912708333333333,0.170477921242622,0.705631336461174,0.865498700172334,1.12846100889316,1.36330187412766
220,349,4,Lates,astral,40,0,4,INT,REF,0.0408547,9619,0.813541666666667,0.23705183546017,0.895080994888492,0.783474313554695,1.40028008402801,1.2982480502585
221,744,4,Lates,astral,40,0,5,EXT,REF,0.554472,29714,0.895833333333333,0.185080009533926,0.766035575380029,0.837214428924872,1.09002194776298,1.3350176028802
222,330,4,Lates,astral,40,0,5,INT,REF,0.0408547,8574,0.847916666666667,0.202389537335049,0.746816044814939,0.842871283174365,1.08178500609223,1.3350176028802
