,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
268,268,8,Lates,astral,40,0.25,1,EXT,REF,0.563208,0.915833333333333,0.152438802975103,0.398118847419728,0.789131167804187,0.634244508647981,1.29259119600901
269,269,2,Lates,astral,40,0.25,1,EXT,REF,0.556455,0.905208333333333,0.146316322780668,0.708376983684758,0.876812408671319,1.03785465051488,1.37461558262665
270,270,5,Lates,astral,40,0.25,1,EXT,REF,0.569217,0.868541666666667,0.217910674490117,0.505199089139517,0.780645886429948,0.818202872628131,1.30107647738325
271,271,1,Lates,astral,40,0.9,0,INT,REF,0.0397409,0.848958333333333,0.176131473903135,0.282801664029186,0.599626550446192,0.623261919753644,1.19359624664289
272,272,8,Lates,astral,40,0.25,0,EXT,REF,0.563208,0.923541666666667,0.14180432402454,0.398118847419728,0.789131167804187,0.634244508647981,1.29259119600901
273,273,7,Lates,astral,40,0.25,10,INT,REF,0.0393079,0.73,0.231093607265863,0.908809231006414,1.01823376490863,1.23279560338937,1.49340952186599
274,274,7,Lates,astral,40,0,10,INT,REF,0.0393079,0.743125,0.223112949641818,0.971959117148854,1.06914545315406,1.29045419508464,1.53300750161243
275,275,5,Lates,astral,40,0.25,10,INT,REF,0.0398327,0.722916666666667,0.225293740489047,1.00216123660828,0.893782971419796,1.47441255906479,1.37461558262665
276,276,5,Lates,astral,40,0,10,INT,REF,0.0398327,0.7175,0.24523978712984,0.573840269729126,0.854184991673349,0.831931108746053,1.3350176028802
277,277,2,Lates,astral,40,0.25,10,INT,REF,0.0360989,0.795208333333333,0.218914046897585,0.933520056018673,0.995606347910659,1.21357607282428,1.47643895911751
278,278,9,Lates,astral,40,0.25,10,INT,REF,0.0392779,0.751875,0.246124481997013,0.334968961277289,1.23319422638934,0.510690383586686,1.67442885784974
279,279,9,Lates,astral,40,0,10,INT,REF,0.0392779,0.7625,0.241990856166272,0.345951550171626,1.21056680939137,0.549129444716867,1.65745829510127
280,280,2,Lates,astral,40,0,10,INT,REF,0.0360989,0.805833333333333,0.219669319498828,0.963722175478101,1.02671904628287,1.23828689783653,1.49623794899073
281,281,6,Lates,astral,40,0,10,INT,REF,0.0389125,0.742708333333333,0.226450310019221,0.540892503046114,0.817415439051649,0.864878875429065,1.31521861300698
282,282,6,Lates,astral,40,0.25,10,INT,REF,0.0389125,0.764583333333333,0.214366541662633,0.626007566977228,0.763675323681471,1.0158894727262,1.29541962313375
283,283,8,Lates,astral,40,0.25,10,INT,REF,0.0382194,0.821666666666667,0.184059811432037,0.485979558574427,0.893782971419796,0.76054428093286,1.36895872837716
284,284,10,Lates,astral,40,0,10,INT,REF,0.0378395,0.7975,0.226739141521424,0.749561692038523,0.907925107043527,1.07903935886864,1.39441457249987
285,285,7,Lates,astral,40,0,5,INT,REF,0.0393079,0.788125,0.216909200044235,0.873115817099818,0.967322076663197,1.21906736727144,1.45946839636903
286,286,7,Lates,astral,40,0.25,5,INT,REF,0.0393079,0.779375,0.222628459211898,0.856641933758312,0.95035151391472,1.20259348392994,1.44249783362056
287,287,10,Lates,astral,40,0.25,10,INT,REF,0.0378395,0.799375,0.223115333690133,0.716613925355511,0.879640835796065,1.02961770884412,1.36613030125241
288,288,8,Lates,astral,40,0,10,INT,REF,0.0382194,0.820416666666667,0.1832677187548,0.507944736363102,0.854184991673349,0.793492047615872,1.34067445712969
289,289,7,Lates,astral,40,0.25,3,INT,REF,0.0393079,0.798333333333333,0.219586975288408,0.807220283733794,0.905096679918781,1.14218924501108,1.4085567081236
290,290,3,Lates,astral,40,0.25,10,INT,REF,0.0410177,0.785833333333333,0.22962349695667,0.318495077935783,1.05783174465508,0.538146855822529,1.51038008461447
291,291,3,Lates,astral,40,0,10,INT,REF,0.0410177,0.7875,0.234470884641741,0.307512489041445,1.15965512114594,0.538146855822529,1.60088975260634
292,292,9,Lates,astral,40,0,5,INT,REF,0.0392779,0.787708333333333,0.242383901432745,0.620516272530059,1.11440028715,0.917046172677167,1.56694862710939
293,293,8,Lates,astral,40,0.25,5,INT,REF,0.0382194,0.808958333333333,0.228018659028704,0.365171080736716,0.896611398544542,0.617770625306475,1.37744400975139
294,294,9,Lates,astral,40,0.25,4,INT,REF,0.0392779,0.777291666666667,0.24029892362438,0.903317936559246,1.06631702602931,1.21083042560069,1.5188653659887
295,295,6,Lates,astral,40,0.25,5,INT,REF,0.0389125,0.76375,0.219221300797628,0.609533683635722,0.789131167804187,0.955485233807348,1.2982480502585
296,296,5,Lates,astral,40,0.25,5,INT,REF,0.0398327,0.73125,0.255056314182291,0.521672972481023,0.811758584802157,0.768781222603613,1.32653232150596
