,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
158,158,2,raxml,Cichlids,40,0.75,2,EXT,REF,1.00000050002909e-06,0.136854535440836,0.00638354411438314,0.0152473364536162,91.3333333333333,19.6678085976923,2.92660289078982,3.01483225399869,0.422829672431987,0.709935208311294,0.724850867026264,1.27562063326053,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.75_mac2_EXT.noInv.phy,96134,0.271124
159,159,2,raxml,Cichlids,40,0.75,3,EXT,REF,1.00000050002909e-06,0.0323535107176904,0.0109182675748153,0.015555120724846,92.8333333333333,17.578194099549,-0.687915433195447,4.4110546497719,0.422829672431987,0.709935208311294,0.724850867026264,1.27562063326053,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.75_mac3_EXT.noInv.phy,47510,0.271124
160,160,2,raxml,Cichlids,40,0.75,4,EXT,REF,1.00000050002909e-06,0.0250367549321285,0.0124456768559452,0.0178206218885996,92.9791666666667,17.0187500895315,-0.900433918029985,4.7866986343333,0.39262755297256,0.678822509939086,0.711122630908342,1.2614784976368,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.75_mac4_EXT.noInv.phy,41401,0.271124
161,161,2,raxml,Cichlids,40,0.75,5,EXT,REF,1.00000050002909e-06,0.028162373761857,0.0171276720741787,0.022454593503718,93.375,15.1385445771677,-2.01224492612968,5.09535932751769,0.39262755297256,0.678822509939086,0.716613925355511,1.2614784976368,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.75_mac5_EXT.noInv.phy,31705,0.271124
162,162,2,raxml,Cichlids,40,0.9,0,EXT,REF,1.00000050002909e-06,0.127906350954721,0.00551182344190588,0.0139619913262596,87.4375,22.2403756378043,2.49923291126742,2.70709361644494,0.417338377984819,0.704278354061801,0.724850867026264,1.26996377901104,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.90_mac0_EXT.noInv.phy,30948,0.271124
163,163,2,raxml,Cichlids,40,0.9,10,EXT,REF,1.00000050002909e-06,0.0187711279203313,0.0283549235235609,0.0367708746893817,85.6875,22.7260804813006,-2.87092160488186,5.69618205508688,0.378899316854638,0.664680374315355,0.708376983684758,1.25299321626256,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.90_mac10_EXT.noInv.phy,5567,0.271124
164,164,2,raxml,Cichlids,40,0.9,1,EXT,REF,1.00000050002909e-06,0.127906350954721,0.00551182344190588,0.0139619913262596,87.4375,22.2403756378043,2.49923291126742,2.70709361644494,0.417338377984819,0.704278354061801,0.724850867026264,1.26996377901104,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.90_mac1_EXT.noInv.phy,30948,0.271124
165,165,2,raxml,Cichlids,40,0.9,2,EXT,REF,1.00000050002909e-06,0.127906350954721,0.00551182344190588,0.0139619913262596,87.4375,22.2403756378043,2.49923291126742,2.70709361644494,0.417338377984819,0.704278354061801,0.724850867026264,1.26996377901104,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.90_mac2_EXT.noInv.phy,30948,0.271124
166,166,2,raxml,Cichlids,40,0.9,3,EXT,REF,1.00000050002909e-06,0.0312265356838347,0.00972394192054535,0.0149842320476871,88.4791666666667,21.3262295630495,-0.329645609956235,4.05193739066241,0.420084025208403,0.707106781186547,0.722105219802679,1.27279220613579,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.90_mac3_EXT.noInv.phy,15233,0.271124
167,167,2,raxml,Cichlids,40,0.9,4,EXT,REF,1.00000050002909e-06,0.0204004631392811,0.0110959244307633,0.0175094016103682,88.5208333333333,21.8310627642916,-0.584015328101252,4.42490630935611,0.417338377984819,0.704278354061801,0.719359572579095,1.26996377901104,s2_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s2_q40_miss0.90_mac4_EXT.noInv.phy,13165,0.271124
