,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
9351,1,10000000,raxml,20,1,0.04,EXT,NOREF,0_0_0,0.213791,34450,0.0441999866566078,-25.7546258028415,1204,1501,1.00000050002909e-06,0.000100245626250049,0.000315195892595074,128,-25.7546258028415,1204,1598,42.7628865979381,41.7711456420269,443295635.418244,-21.7270472422071,702,801
9352,1,10000000,raxml,20,1,0.04,EXT,REF,0_0_0,0.213791,34450,0.0441999866566078,-26.3743516329076,882,1385,1.00000050002909e-06,0.000127664944360508,0.000402646924566476,110,-26.2016528305814,952,1269,44.1734693877551,41.6918062879338,653295635.426675,-28.8459501543633,380,460
9353,1,10000000,raxml,20,1,0.05,EXT,NOREF,0_0_0,0.213791,21674,0.0278081425484853,-28.7348794065233,1354,1639,1.00000050002909e-06,0.000104187698451652,0.000389819365681941,140,-28.7348794065233,1354,1736,NA,NA,443295635.420335,-24.7073008458889,951,951
9354,1,10000000,raxml,20,1,0.05,EXT,REF,0_0_0,0.213791,21674,0.0278081425484853,-31.5655840258588,915,1245,1.00000050002909e-06,0.000144465631279988,0.000541581440760125,140,-31.2014705234317,881,1305,NA,NA,653295635.429906,-34.0371825473146,313,478
9355,1,10000000,raxml,20,1,0.05,EXT,NOREF,0_0_0,0.213791,21674,0.0278081425484853,-28.7348794065233,1354,1736,1.00000050002909e-06,0.000104187698451652,0.000389819365681941,140,-28.7348794065233,1354,1639,35.4536082474227,39.9856798894296,443295635.420335,-24.7073008458889,951,951
9356,1,10000000,raxml,20,1,0.05,EXT,REF,0_0_0,0.213791,21674,0.0278081425484853,-31.5655840258588,915,1245,1.00000050002909e-06,0.000144465631279988,0.000541581440760125,140,-31.2014705234317,881,1305,35.3163265306122,40.6758868610571,653295635.429906,-34.0371825473146,413,478
9357,1,10000000,raxml,20,1,0,EXT,NOREF,0_0_0,0.213791,490360,0.629140942146131,-30.2382075836565,588,941,3.88211377859077e-05,3.24751223944979e-05,3.05350193806412e-05,30,-30.2382075836565,491,1036,NA,NA,443295635.399642,-26.2106290230221,88,88
9358,1,10000000,raxml,20,1,0,EXT,REF,0_0_0,0.213791,707781,0.908096103216271,-23.1029663070413,920,1335,1.55921987313084e-05,4.20966125017596e-05,0.000182735828685878,24,-22.9232346748978,830,1244,NA,NA,653295635.396765,-25.5745648284971,418,329
9359,1,10000000,raxml,20,1,0,EXT,NOREF,0_0_0,0.213791,490360,0.629140942146131,-30.2382075836565,586,1036,3.88211377859077e-05,3.24751223944979e-05,3.05350193806412e-05,30,-30.2382075836565,491,1036,88.8969072164948,26.8399905831153,443295635.399642,-26.2106290230221,185,88
9360,1,10000000,raxml,20,1,0,EXT,REF,0_0_0,0.213791,707781,0.908096103216271,-23.1029663070413,919,1335,1.55921987313084e-05,4.20966125017596e-05,0.000182735828685878,24,-22.9232346748978,829,1244,88.7142857142857,26.8435712897451,653295635.396765,-25.5745648284971,319,426
