,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1824,1,10000000,raxml,0,0.75,0.05,INT,REF,11_0_0,157,NA,-26.3647914081113,519,955,1.00000050002909e-06,0.000164316966490674,0.000593851677467149,120,35.6569390314417,498,930,NA,0.239258554720061,448472052.035853,-25.0989622453549,4,26
1825,1,10000000,raxml,0,0.75,0.1,INT,NOREF,11_0_0,60,NA,-27.0787332079131,623,1010,1.00000050002909e-06,0.000263400366867618,0.00131641639529586,156,-27.3946384772066,551,981,NA,0.239258554720061,448472052.06531,-25.8129040451566,78,79
1826,1,10000000,raxml,0,0.75,0.1,INT,REF,11_0_0,60,NA,-27.2277050848245,1023,1521,1.00000050002909e-06,0.000261006235229315,0.00131283460936605,160,-27.5412522404316,1002,1420,NA,0.239258554720061,448472052.065352,-25.9618759220681,530,530
1827,1,10000000,raxml,0,0.75,0.15,INT,NOREF,11_0_0,53,NA,-27.7961329600208,1223,1595,1.00000050002909e-06,0.000151279750013897,0.000837256006488704,176,-28.1163061272903,1125,1495,NA,0.239258554720061,448472052.043252,-26.5303037972644,652,653
1828,1,10000000,raxml,0,0.75,0.15,INT,REF,11_0_0,53,NA,-27.9478728974113,794,1218,1.00000050002909e-06,0.000150072977648918,0.00083489964001886,166,-28.2650957108383,718,1140,NA,0.239258554720061,448472052.043292,-26.6820437346548,169,246
1829,1,10000000,raxml,0,0.75,0,INT,NOREF,11_0_0,1699,NA,-14.9310106183687,537,963,0.00144054432108905,6.86615159088375e-05,0.000114486778149069,22,0.391810579389308,439,885,NA,0.239258554720061,448472052.009772,-13.6651814556123,-34,-33
1830,1,10000000,raxml,0,0.75,0,INT,REF,11_0_0,1730,NA,-15.0009211246964,572,996,0.00139954510984951,6.7253761186203e-05,0.00011143013352714,24,4.23041248356422,473,917,NA,0.239258554720061,448472052.008069,-13.7350919619399,-77,1
1831,1,10000000,raxml,0,0,0.01,INT,NOREF,11_0_0,711,NA,-25.8771476418909,524,974,3.42838243760026e-05,0.000124454499594134,0.000218915095494925,28,28.0699558511776,426,874,NA,0.239258554720061,448472052.028123,-24.6113184791345,-69,-46
1832,1,10000000,raxml,0,0,0.01,INT,REF,11_0_0,711,NA,-26.1338453688603,547,999,3.43836319557632e-05,0.0001235748126265,0.000218829734587442,12,27.0161667321336,448,898,NA,0.239258554720061,448472052.026609,-24.8680162061039,-24,-24
1833,1,10000000,raxml,0,0,0.05,INT,NOREF,11_0_0,157,NA,-26.1780701955409,633,996,1.00000050002909e-06,0.000165819952132058,0.000596084222037614,130,36.8231983445184,557,971,NA,0.239258554720061,448472052.046092,-24.9122410327845,7,85
1834,1,10000000,raxml,0,0,0.05,INT,REF,11_0_0,157,NA,-26.3647914081113,519,955,1.00000050002909e-06,0.000164316966490674,0.000593851677467149,120,35.6569390314417,498,930,NA,0.239258554720061,448472052.035853,-25.0989622453549,4,26
1835,1,10000000,raxml,0,0,0.1,INT,NOREF,11_0_0,60,NA,-27.0787332079131,623,1055,1.00000050002909e-06,0.000263400366867618,0.00131641639529586,156,-27.3946384772066,551,981,NA,0.239258554720061,448472052.06531,-25.8129040451566,78,79
1836,1,10000000,raxml,0,0,0.1,INT,REF,11_0_0,60,NA,-27.2277050848245,1023,1521,1.00000050002909e-06,0.000261006235229315,0.00131283460936605,160,-27.5412522404316,1002,1420,NA,0.239258554720061,448472052.065352,-25.9618759220681,530,530
1837,1,10000000,raxml,0,0,0.15,INT,NOREF,11_0_0,53,NA,-27.7961329600208,1223,1522,1.00000050002909e-06,0.000151279750013897,0.000837256006488704,176,-28.1163061272903,1125,1495,NA,0.239258554720061,448472052.043252,-26.5303037972644,628,653
1838,1,10000000,raxml,0,0,0.15,INT,REF,11_0_0,53,NA,-27.9478728974113,817,1218,1.00000050002909e-06,0.000150072977648918,0.00083489964001886,166,-28.2650957108383,718,1140,NA,0.239258554720061,448472052.043292,-26.6820437346548,223,246
1839,1,10000000,raxml,0,0,0,INT,NOREF,11_0_0,1700,NA,-14.9331299965767,510,976,0.00144037105204838,6.86937871939394e-05,0.000114499792202296,28,0.361828259809946,434,876,NA,0.239258554720061,448472052.009565,-13.6673008338203,-116,-38
1840,1,10000000,raxml,0,0,0,INT,REF,11_0_0,1731,NA,-15.0010487914269,504,1028,0.00139946415622819,6.72888209085412e-05,0.000111454788360006,20,4.24696469771581,483,927,NA,0.239258554720061,448472052.008406,-13.7352196286705,-11,11
1841,1,10000000,raxml,0,1,0.01,INT,NOREF,11_0_0,700,NA,-25.708167518443,477,935,1.00000050002909e-06,0.000125248246536762,0.000220503924227634,20,-32.4005115862561,379,835,NA,0.239258554720061,448472052.027512,-24.4423383556866,-122,-93
1842,1,10000000,raxml,0,1,0.01,INT,REF,11_0_0,700,NA,-25.9454608578276,493,949,1.00000050002909e-06,0.000124346163185377,0.000220456524087067,18,-4.19435162395233,416,870,NA,0.239258554720061,448472052.031052,-24.6796316950711,-78,-56
